Quanto é 0 + 0?;0 + 0 é igual a 0!
Quanto é 1 + 1?;1 + 1 é igual a 2!
Quanto é 2 + 2?;2 + 2 é igual a 4!
Quanto é 3 + 3?;3 + 3 é igual a 6!
Quanto é 4 + 4?;4 + 4 é igual a 8!
Quanto é 5 + 5?;5 + 5 é igual a 10!
Quanto é 6 + 6?;6 + 6 é igual a 12!
Quanto é 7 + 7?;7 + 7 é igual a 14
Quanto é 8 + 8?;8 + 8 é igual a 16!
Quanto é 9 + 9?;9 + 9 é igual a 18!
Quanto é 10 + 10?;10 + 10 é igual a 20!
Quanto é 11 + 11?;11 + 11 é igual a 22!
Quanto é 12 + 12?;12 + 12 é igual a 24!
Quanto é 13 + 13?;13 + 13 é igual a 26!
Quanto é 14 + 14?;14 + 14 é igual a 28!
Quanto é 15 + 15?;15 + 15 é igual a 30!
Quanto é 16 + 16?;16 + 16 é igual a 32!
Quanto é 17 + 17?;17 + 17 é igual a 34!
Quanto é 18 + 18?;18 + 18 é igual a 36!
Quanto é 19 + 19?;19 + 19 é igual a 38!
Quanto é 20 + 20?;20 + 20 é igual a 40!
Quanto é 21 + 21?;21 + 21 é igual a 42!
Quanto é 22 + 22?;22 + 22 é igual a 44!
Quanto é 23 + 23?;23 + 23 é igual a 46!
Quanto é 24 + 24?;24 + 24 é igual a 48!
Quanto é 25 + 25?;25 + 25 é igual a 50!
Quanto é 26 + 26?;26 + 26 é igual a 52!
Quanto é 27 + 27?;27 + 27 é igual a 54!
Quanto é 28 + 28?;28 + 28 é igual a 56!
Quanto é 29 + 29?;29 + 29 é igual a 58!
Quanto é 30 + 30?;30 + 30 é igual a 60!
Quanto é 31 + 31?;31 + 31 é igual a 62!
Quanto é 32 + 32?;32 + 32 é igual a 64!
Quanto é 33 + 33?;33 + 33 é igual a 66!
Quanto é 34 + 34?;34 + 34 é igual a 68!
Quanto é 35 + 35?;35 + 35 é igual a 70!
Quanto é 36 + 36?;36 + 36 é igual a 72!
